i Re Im
393 2.48127 8.88178e-16
394 2.48254 1.16573e-15
395 2.48379 7.21645e-16
396 2.48501 1.11022e-15
397 2.48619 5.55112e-16
398 2.48735 6.10623e-16
399 2.48847 6.66134e-16
400 2.48956 9.99201e-16
401 2.49062 4.996e-16
402 2.49165 9.4369e-16
403 2.49264 6.66134e-16
404 2.49361 1.22125e-15
405 2.49455 8.88178e-16
406 2.49545 8.88178e-16
407 2.49632 3.33067e-16
408 2.49717 5.55112e-16
409 2.49798 4.44089e-16
410 2.49876 6.66134e-16
411 2.49951 4.44089e-16
412 2.50022 7.77156e-16
413 2.50091 4.996e-16
414 2.50157 6.66134e-16
415 2.50219 6.10623e-16
416 2.50278 1.66533e-15
417 2.50335 1.11022e-15
418 2.50388 1.27676e-15
419 2.50438 1.11022e-15
420 2.50485 1.60982e-15
421 2.50529 1.55431e-15
422 2.5057 1.44329e-15
423 2.50608 7.21645e-16
424 2.50643 9.99201e-16
425 2.50674 3.60822e-16
426 2.50703 3.05311e-16
427 2.50728 2.77556e-16
428 2.50751 6.38378e-16
429 2.5077 3.05311e-16
430 2.50787 4.16334e-16
431 2.508 1.38778e-16
432 2.5081 6.10623e-16
433 2.50817 -1.66533e-16
434 2.50822 2.498e-16
435 2.50823 8.32667e-17
436 2.50821 4.16334e-16
437 2.50816 1.66533e-16
438 2.50808 2.77556e-17
439 2.50797 -3.88578e-16
440 2.50783 -1.66533e-16
441 2.50766 -6.10623e-16
442 2.50746 -3.60822e-16
443 2.50722 -6.38378e-16
444 2.50696 -4.16334e-16
445 2.50667 -6.66134e-16
446 2.50635 -4.996e-16
447 2.506 -5.55112e-16
448 2.50562 -2.77556e-16
449 2.50521 -5.55112e-16
450 2.50476 1.38778e-16
451 2.50429 -2.22045e-16
452 2.50379 1.38778e-16
453 2.50326 8.32667e-17
454 2.5027 1.94289e-16
455 2.50211 -2.22045e-16
456 2.50149 -1.11022e-16
457 2.50084 -2.22045e-16
458 2.50016 -8.32667e-17
459 2.49945 -4.996e-16
460 2.49871 1.38778e-16
461 2.49795 -4.16334e-16
462 2.49715 -1.94289e-16
463 2.49632 -8.32667e-17
464 2.49547 4.44089e-16
465 2.49458 -2.77556e-17
466 2.49367 8.32667e-17
467 2.49272 -5.55112e-17
468 2.49175 3.88578e-16
469 2.49075 1.11022e-16
470 2.48972 2.77556e-16
471 2.48866 -4.30211e-16
472 2.48757 -2.498e-16
473 2.48645 -6.245e-16
474 2.4853 -4.57967e-16
475 2.48413 -8.74301e-16
476 2.48292 -5.82867e-16
477 2.48169 -6.80012e-16
478 2.48043 -5.27356e-16
479 2.47914 -6.66134e-16
480 2.47782 3.05311e-16
481 2.47647 -1.38778e-16
482 2.4751 1.94289e-16
483 2.47369 -1.11022e-16
484 2.47226 3.46945e-16
485 2.4708 3.747e-16
486 2.46931 7.77156e-16
487 2.46779 0
488 2.46625 1.80411e-16
489 2.46468 -1.38778e-16
490 2.46307 6.52256e-16
491 2.46144 8.32667e-17
492 2.45979 5.6205e-16
493 2.4581 4.92661e-16
494 2.45639 6.8695e-16
495 2.45465 2.08167e-16
496 2.45288 8.32667e-16
497 2.45109 5.13478e-16
498 2.44926 7.77156e-16
499 2.44741 6.17562e-16
500 2.44554 1.11022e-15
501 2.44363 1.29063e-15
502 2.4417 1.43288e-15
503 2.43974 9.57567e-16
504 2.43775 1.08247e-15
505 2.43574 7.94503e-16
506 2.4337 1.20043e-15
507 2.43163 1.26288e-15
508 2.42953 1.11543e-15
509 2.42741 8.30933e-16
510 2.42526 1.20043e-15
511 2.42309 8.65193e-16
512 2.42089 2.75457e-15
513 2.41866 2.42211e-15
514 2.4164 2.9525e-15
515 2.41412 2.59341e-15
516 2.41181 3.2821e-15
517 2.40948 3.00454e-15
518 2.40712 3.1225e-15
519 2.40473 2.99413e-15
520 2.40232 2.76862e-15
521 2.39988 2.69576e-15
522 2.39742 2.92821e-15
523 2.39493 2.81719e-15
524 2.39241 3.26822e-15
525 2.38987 2.4078e-15
526 2.38731 2.69923e-15
527 2.38471 2.32453e-15
528 2.38209 2.61596e-15
529 2.37945 2.2829e-15
530 2.37678 2.49106e-15
531 2.37409 2.35229e-15
532 2.37137 2.88658e-15
533 2.36862 2.92821e-15
534 2.36585 2.56739e-15
535 2.36306 2.498e-15
536 2.36024 2.40086e-15
537 2.35739 2.22045e-15
538 2.35453 2.498e-15
539 2.35163 1.97065e-15
540 2.34871 2.73392e-15
541 2.34577 2.52576e-15
542 2.3428 2.63678e-15
543 2.33981 2.55351e-15
544 2.3368 3.10862e-15
545 2.33376 2.73392e-15
546 2.33069 3.06699e-15
547 2.3276 2.91434e-15
548 2.32449 3.31679e-15
549 2.32135 3.64986e-15
550 2.31819 3.60822e-15
551 2.31501 3.23352e-15
552 2.3118 3.08087e-15
553 2.30857 2.83107e-15
554 2.30532 3.38618e-15
555 2.30204 2.9976e-15
556 2.29874 3.55271e-15
557 2.29542 3.19189e-15
558 2.29207 3.16414e-15
559 2.2887 2.91434e-15
560 2.28531 2.88658e-15
561 2.28189 2.72005e-15
562 2.27845 3.13638e-15
563 2.27499 3.30291e-15
564 2.27151 3.58047e-15
565 2.268 3.52496e-15
566 2.26447 3.27516e-15
567 2.26092 3.10862e-15
568 2.25734 2.7478e-15
569 2.25375 2.55351e-15
570 2.25013 2.88658e-15
571 2.24649 2.52576e-15
572 2.24283 2.44249e-15
573 2.23915 2.30371e-15
574 2.23544 2.60902e-15
575 2.23171 2.2482e-15
576 2.22797 2.498e-15
577 2.2242 2.08167e-15
578 2.2204 2.38698e-15
579 2.21659 2.22045e-15
580 2.21276 2.35922e-15
581 2.2089 2.41474e-15
582 2.20503 2.63678e-15
583 2.20113 2.13718e-15
584 2.19721 2.02616e-15
585 2.19328 1.69309e-15
586 2.18932 1.9984e-15
587 2.18534 1.72085e-15
588 2.18134 2.05391e-15
589 2.17732 1.91513e-15
590 2.17328 1.80411e-15
591 2.16922 1.85962e-15
592 2.16514 1.97065e-15
593 2.16104 1.66533e-15
594 2.15692 1.88738e-15
595 2.15278 1.85962e-15
596 2.14862 2.27596e-15
597 2.14444 2.33147e-15
598 2.14024 2.44249e-15
599 2.13602 2.08167e-15
600 2.13178 1.7486e-15
601 2.12753 1.94289e-15
602 2.12325 2.05391e-15
603 2.11896 1.60982e-15
604 2.11464 1.83187e-15
605 2.11031 1.77636e-15
606 2.10596 1.88738e-15
607 2.10159 1.88738e-15
608 2.0972 2.05391e-15
609 2.0928 1.66533e-15
610 2.08837 1.9984e-15
611 2.08393 1.77636e-15
612 2.07947 1.94289e-15
613 2.07499 1.9984e-15
614 2.07049 1.9984e-15
615 2.06598 1.72085e-15
616 2.06144 1.55431e-15
617 2.05689 1.60982e-15
618 2.05233 1.83187e-15
619 2.04774 1.33227e-15
620 2.04314 1.66533e-15
621 2.03852 1.60982e-15
622 2.03389 1.77636e-15
623 2.02923 1.55431e-15
624 2.02456 1.83187e-15
625 2.01988 1.27676e-15
626 2.01517 1.44329e-15
627 2.01045 1.33227e-15
628 2.00572 1.66533e-15
629 2.00096 1.55431e-15
630 1.99619 1.72085e-15
631 1.99141 1.55431e-15
632 1.98661 1.27676e-15
633 1.98179 1.27676e-15
634 1.97696 1.66533e-15
635 1.97211 1.4988e-15
636 1.96725 1.44329e-15
637 1.96237 1.4988e-15
638 1.95747 1.38778e-15
639 1.95256 1.38778e-15
640 1.94764 1.72085e-15
641 1.9427 1.44329e-15
642 1.93774 1.88738e-15
643 1.93277 1.72085e-15
644 1.92779 1.88738e-15
645 1.92279 1.60982e-15
646 1.91777 1.9984e-15
647 1.91274 1.77636e-15
648 1.9077 1.72085e-15
649 1.90264 1.4988e-15
650 1.89757 1.72085e-15
651 1.89249 1.44329e-15
652 1.88739 1.77636e-15
653 1.88227 1.4988e-15
654 1.87715 1.33227e-15
655 1.87201 1.33227e-15
656 1.86685 1.44329e-15
657 1.86169 1.05471e-15
658 1.85651 1.11022e-15
659 1.85131 9.4369e-16
660 1.84611 1.38778e-15
661 1.84089 1.55431e-15
662 1.83566 1.55431e-15
663 1.83041 1.66533e-15
664 1.82516 1.60982e-15
665 1.81989 1.16573e-15
666 1.81461 1.72085e-15
667 1.80931 1.38778e-15
668 1.804 1.77636e-15
669 1.79869 1.55431e-15
670 1.79336 1.55431e-15
671 1.78801 1.77636e-15
672 1.78266 1.83187e-15
673 1.7773 1.38778e-15
674 1.77192 1.77636e-15
675 1.76653 1.44329e-15
676 1.76113 1.77636e-15
677 1.75572 1.77636e-15
678 1.7503 1.77636e-15
679 1.74487 1.83187e-15
680 1.73943 1.33227e-15
681 1.73397 1.44329e-15
682 1.72851 1.55431e-15
683 1.72303 1.22125e-15
684 1.71755 1.60982e-15
685 1.71205 1.60982e-15
686 1.70655 1.44329e-15
687 1.70103 1.4988e-15
688 1.69551 1.55431e-15
689 1.68997 1.27676e-15
690 1.68443 1.83187e-15
691 1.67888 1.38778e-15
692 1.67331 1.77636e-15
693 1.66774 1.88738e-15
694 1.66216 1.88738e-15
695 1.65657 1.77636e-15
696 1.65097 1.66533e-15
697 1.64536 1.55431e-15
698 1.63974 1.77636e-15
699 1.63411 1.44329e-15
700 1.62848 1.60982e-15
