i Re Im
300 -0.136978 2.498e-16
301 -0.135284 1.94289e-16
302 -0.13334 2.35922e-16
303 -0.131148 4.30211e-16
304 -0.128712 2.08167e-16
305 -0.126036 1.38778e-16
306 -0.123122 1.94289e-16
307 -0.119973 2.77556e-16
308 -0.116594 1.66533e-16
309 -0.112987 3.60822e-16
310 -0.109156 1.94289e-16
311 -0.105104 3.33067e-16
312 -0.100836 3.05311e-16
313 -0.0963554 3.33067e-16
314 -0.0916654 3.88578e-16
315 -0.0867702 3.60822e-16
316 -0.0816737 3.33067e-16
317 -0.07638 3.33067e-16
318 -0.070893 3.33067e-16
319 -0.0652169 3.60822e-16
320 -0.0593559 4.71845e-16
321 -0.0533143 3.05311e-16
322 -0.0470962 3.60822e-16
323 -0.040706 1.38778e-16
324 -0.0341482 3.88578e-16
325 -0.0274271 2.77556e-16
326 -0.0205472 4.44089e-16
327 -0.0135131 4.44089e-16
328 -0.00632925 3.88578e-16
329 0.000999641 4.44089e-16
330 0.00846897 3.33067e-16
331 0.0160741 5.55112e-16
332 0.0238102 4.996e-16
333 0.0316726 6.10623e-16
334 0.0396565 3.33067e-16
335 0.0477571 5.55112e-16
336 0.0559695 4.44089e-16
337 0.0642889 6.10623e-16
338 0.0727105 6.10623e-16
339 0.0812292 6.10623e-16
340 0.0898401 7.21645e-16
341 0.0985384 8.88178e-16
342 0.107319 1.05471e-15
343 0.116177 8.88178e-16
344 0.125107 9.99201e-16
345 0.134105 9.4369e-16
346 0.143165 8.32667e-16
347 0.152282 7.77156e-16
348 0.161451 8.32667e-16
349 0.170668 7.21645e-16
350 0.179927 9.4369e-16
351 0.189223 9.4369e-16
352 0.198551 1.05471e-15
353 0.207907 1.16573e-15
354 0.217284 1.22125e-15
355 0.226679 1.05471e-15
356 0.236085 9.99201e-16
357 0.245499 1.05471e-15
358 0.254915 8.88178e-16
359 0.264327 8.32667e-16
360 0.273732 8.32667e-16
361 0.283125 7.77156e-16
362 0.292499 8.60423e-16
363 0.301851 8.88178e-16
364 0.311176 7.77156e-16
365 0.320469 7.77156e-16
366 0.329724 7.49401e-16
367 0.338938 7.49401e-16
368 0.348105 8.60423e-16
369 0.35722 8.04912e-16
370 0.36628 8.32667e-16
371 0.375279 8.32667e-16
372 0.384213 5.82867e-16
373 0.393077 9.15934e-16
374 0.401867 5.27356e-16
375 0.410578 6.10623e-16
376 0.419206 5.82867e-16
377 0.427746 5.13478e-16
378 0.436194 5.41234e-16
379 0.444546 6.38378e-16
380 0.452798 5.34295e-16
381 0.460945 2.91434e-16
382 0.468982 5.41234e-16
383 0.476908 3.40006e-16
384 0.484716 4.85184e-16
385 0.492403 4.97866e-16
386 0.499965 3.71231e-16
387 0.507399 2.08167e-16
388 0.5147 2.77556e-16
389 0.521865 3.81639e-16
390 0.528891 2.08167e-16
391 0.535773 2.08167e-16
392 0.542508 2.22045e-16
393 0.549092 3.88578e-16
394 0.555523 3.46945e-16
395 0.561797 3.88578e-16
396 0.56791 5.27356e-16
397 0.57386 4.996e-16
398 0.579643 4.71845e-16
399 0.585257 2.498e-16
400 0.590698 1.38778e-16
401 0.595964 2.77556e-16
402 0.601051 3.60822e-16
403 0.605958 2.498e-16
404 0.610681 2.77556e-17
405 0.615217 3.33067e-16
406 0.619566 1.66533e-16
407 0.623723 4.71845e-16
408 0.627687 3.88578e-16
409 0.631456 3.33067e-16
410 0.635027 1.66533e-16
411 0.638399 3.33067e-16
412 0.641568 5.55112e-16
413 0.644535 3.33067e-16
414 0.647296 4.44089e-16
415 0.64985 7.77156e-16
416 0.652196 6.10623e-16
417 0.654331 7.21645e-16
418 0.656255 2.22045e-16
419 0.657967 3.88578e-16
420 0.659464 1.66533e-16
421 0.660746 3.33067e-16
422 0.661811 6.66134e-16
423 0.662659 1.11022e-16
424 0.663289 5.55112e-17
425 0.6637 -1.11022e-16
426 0.663892 -5.55112e-17
427 0.663863 -2.77556e-16
428 0.663613 -1.11022e-16
429 0.663142 -5.55112e-17
430 0.662449 5.55112e-17
431 0.661535 -5.55112e-17
432 0.660398 -1.66533e-16
433 0.65904 -1.66533e-16
434 0.65746 0
435 0.655657 -5.55112e-17
436 0.653633 -2.22045e-16
437 0.651388 -1.11022e-16
438 0.648921 -1.11022e-16
439 0.646234 0
440 0.643328 2.77556e-16
441 0.640202 5.55112e-17
442 0.636857 1.11022e-16
443 0.633295 1.11022e-16
444 0.629517 0
445 0.625522 5.55112e-17
446 0.621313 0
447 0.616891 0
448 0.612257 5.55112e-17
449 0.607412 -5.55112e-17
450 0.602357 1.11022e-16
451 0.597096 0
452 0.591628 -2.22045e-16
453 0.585955 -5.55112e-17
454 0.580081 0
455 0.574005 0
456 0.567731 0
457 0.56126 -2.22045e-16
458 0.554595 -5.55112e-17
459 0.547738 -1.11022e-16
460 0.54069 -1.11022e-16
461 0.533455 5.55112e-17
462 0.526034 5.55112e-17
463 0.518431 -2.498e-16
464 0.510647 -1.66533e-16
465 0.502686 -1.11022e-16
466 0.49455 8.32667e-17
467 0.486242 -1.11022e-16
468 0.477765 -1.11022e-16
469 0.469122 8.32667e-17
470 0.460315 1.94289e-16
471 0.451348 2.498e-16
472 0.442225 1.66533e-16
473 0.432947 5.55112e-17
474 0.423519 1.38778e-16
475 0.413943 0
476 0.404224 1.38778e-16
477 0.394363 5.55112e-17
478 0.384366 1.38778e-16
479 0.374236 1.11022e-16
480 0.363975 0
481 0.353589 -6.93889e-17
482 0.343079 1.38778e-17
483 0.332451 5.55112e-17
484 0.321708 -4.16334e-17
485 0.310854 -5.55112e-17
486 0.299892 1.38778e-16
487 0.288827 8.32667e-17
488 0.277663 1.66533e-16
489 0.266403 8.32667e-17
490 0.255052 0
491 0.243613 3.46945e-17
492 0.232091 5.55112e-17
493 0.220491 9.02056e-17
494 0.208815 2.15106e-16
495 0.197069 -8.32667e-17
496 0.185256 4.85723e-17
497 0.173381 1.04083e-17
498 0.161449 -1.38778e-17
499 0.149463 6.93889e-17
500 0.137427 -4.51028e-17
501 0.125347 -6.245e-17
502 0.113227 -5.20417e-18
503 0.10107 1.75207e-16
504 0.0888814 1.42247e-16
505 0.0766658 5.89806e-17
506 0.0644272 -2.60209e-18
507 0.0521703 1.13624e-16
508 0.0398994 -9.97466e-18
509 0.027619 -1.45283e-17
510 0.0153335 5.22043e-17
511 0.00304739 2.03288e-17
512 -0.00923484 1.66533e-16
513 -0.0215088 2.52782e-16
514 -0.03377 2.30393e-16
515 -0.0460139 1.44199e-16
516 -0.0582363 -8.89046e-17
517 -0.0704325 1.04083e-16
518 -0.0825983 1.04083e-17
519 -0.0947292 1.59595e-16
520 -0.106821 -7.45931e-17
521 -0.118869 1.19696e-16
522 -0.130868 3.46945e-18
523 -0.142816 4.85723e-17
524 -0.154707 5.20417e-17
525 -0.166536 3.46945e-17
526 -0.178301 1.94289e-16
527 -0.189996 6.93889e-18
528 -0.201617 -7.63278e-17
529 -0.21316 -1.38778e-17
530 -0.224621 -2.42861e-16
531 -0.235996 -1.66533e-16
532 -0.24728 -1.59595e-16
533 -0.25847 -9.71445e-17
534 -0.269562 -6.93889e-17
