iteracja	x	epsilon
405	2.198075	0.000144
406	2.197959	0.000499
407	2.197599	0.000087
408	2.196376	0.000476
409	2.198081	0.001583
410	2.197705	0.000482
411	2.198120	0.001329
412	2.198356	0.000038
413	2.198499	0.000651
414	2.197980	0.000379
415	2.198147	0.000376
416	2.197871	0.000352
417	2.197568	0.000109
418	2.194079	0.000579
419	2.197994	0.003792
420	2.197624	0.000425
421	2.198007	0.003546
422	2.198131	0.000014
423	2.198149	0.000506
424	2.197629	0.000142
425	2.197883	0.000501
426	2.198486	0.000266
427	2.198019	0.000856
428	2.197706	0.000135
429	2.197915	0.000780
430	2.198209	0.000104
431	2.198072	0.000503
432	2.197436	0.000157
433	2.197868	0.000773
434	2.198188	0.000204
435	2.197968	0.000752
436	2.196630	0.000100
437	2.197629	0.001558
438	2.198006	0.000340
439	2.197738	0.001376
440	2.198149	0.000110
441	2.198211	0.000143
442	2.198815	0.000473
443	2.197943	0.000666
444	2.198117	0.000268
445	2.197870	0.000698
446	2.197025	0.000073
447	2.203449	0.001092
448	2.197933	0.005579
449	2.196808	0.000908
450	2.197923	0.006641
451	2.197978	0.000010
452	2.197969	0.001170
453	2.198511	0.000046
454	2.198976	0.000533
455	2.197859	0.001007
456	2.198301	0.000652
457	2.197773	0.000675
458	2.197408	0.000086
459	2.196374	0.000893
460	2.197900	0.001399
461	2.197591	0.000492
462	2.197936	0.001217
463	2.198022	0.000036
464	2.198055	0.000431
465	2.199275	0.000119
466	2.197339	0.001253
467	2.198014	0.000716
468	2.196554	0.001261
469	2.198095	0.000785
470	2.198051	0.000081
471	2.198141	0.001497
472	2.197675	0.000046
473	2.197765	0.000375
474	2.198532	0.000376
475	2.197957	0.000857
476	2.197404	0.000192
477	2.197847	0.001128
478	2.198042	0.000110
479	2.197948	0.000638
480	2.198526	0.000101
481	2.203316	0.000484
482	2.197833	0.005368
483	2.198471	0.000693
484	2.197817	0.004845
485	2.197569	0.000015
486	2.197522	0.000902
487	2.197957	0.000296
488	2.197831	0.000388
489	2.198061	0.000309
490	2.198212	0.000104
491	2.198578	0.000381
492	2.197856	0.000517
493	2.198089	0.000356
494	2.197690	0.000489
495	2.199204	0.000167
496	2.198362	0.001115
497	2.197525	0.000673
498	2.198246	0.001679
499	2.200005	0.000116
500	2.198739	0.002480
501	2.198196	0.000493
502	2.198523	0.001809
503	2.198100	0.000216
504	2.198071	0.000097
505	2.198000	0.000452
506	2.197735	0.000099
507	2.197264	0.000335
508	2.198198	0.000736
509	2.197858	0.000462
510	2.198368	0.000594
511	2.196555	0.000170
512	2.197538	0.001303
513	2.198543	0.000830
514	2.197678	0.001988
515	2.194292	0.000140
516	2.196976	0.004251
517	2.197717	0.000702
518	2.197212	0.003425
519	2.197819	0.000236
520	2.197841	0.000102
521	2.197907	0.000629
522	2.198069	0.000088
523	2.198148	0.000228
524	2.200380	0.000241
525	2.197806	0.002311
526	2.198119	0.000341
527	2.197766	0.002261
528	2.199011	0.000040
529	2.198697	0.000892
530	2.197629	0.000931
531	2.198383	0.001382
532	2.197052	0.000314
533	2.183149	0.000577
534	2.198738	0.015234
535	2.197117	0.001686
536	2.198783	0.013968
537	2.202947	0.000046
538	2.205720	0.005831
539	2.198670	0.006937
540	2.201054	0.004278
541	2.198612	0.004666
542	2.198537	0.000058
543	2.198497	0.002517
544	2.198241	0.000115
545	2.198208	0.000296
546	2.198092	0.000289
547	2.197996	0.000149
548	2.197891	0.000212
549	2.197405	0.000202
550	2.198456	0.000591
551	2.197982	0.000566
552	2.200357	0.000577
553	2.197862	0.001901
554	2.197960	0.000119
555	2.197831	0.002398
556	2.198262	0.000032
557	2.198216	0.000302
558	2.196963	0.000386
559	2.198010	0.001299
560	2.198338	0.000207
561	2.198061	0.001375
562	2.197860	0.000051
563	2.197921	0.000478
564	2.198767	0.000140
565	2.198188	0.000907
566	2.197837	0.000267
567	2.198097	0.000930
568	2.194636	0.000091
569	2.199019	0.003201
570	2.198116	0.000922
571	2.199494	0.003480
572	2.198058	0.000476
573	2.198075	0.000057
574	2.198023	0.001419
575	2.197643	0.000035
576	2.197486	0.000433
577	2.198180	0.000537
578	2.197849	0.000538
579	2.198435	0.000364
580	2.195347	0.000254
581	2.197587	0.002502
582	2.198545	0.000848
