iteracja	x	epsilon
400	2.197802	0.000135
401	2.197955	0.000164
402	2.197782	0.000032
403	2.197712	0.000020
404	2.197682	0.000243
405	2.200746	0.000100
406	2.198828	0.003034
407	2.198143	0.001147
408	2.197913	0.002603
409	2.197264	0.000916
410	2.198048	0.000879
411	2.202286	0.000135
412	2.197600	0.005022
413	2.196606	0.000447
414	2.198123	0.005680
415	2.198187	0.000523
416	2.197712	0.001581
417	2.198575	0.000411
418	2.197953	0.000388
419	2.198072	0.000241
420	2.198358	0.000503
421	2.198027	0.000404
422	2.198888	0.000046
423	2.198483	0.000530
424	2.199808	0.000456
425	2.197813	0.000920
426	2.197855	0.000670
427	2.198223	0.001953
428	2.197332	0.000410
429	2.198051	0.000523
430	2.197888	0.000172
431	2.197636	0.000556
432	2.197948	0.000415
433	2.196028	0.000060
434	2.197367	0.001608
435	2.200282	0.000581
436	2.198113	0.004254
437	2.198064	0.000746
438	2.197407	0.002218
439	2.198210	0.000706
440	2.197701	0.000146
441	2.197891	0.000294
442	2.197962	0.000319
443	2.196957	0.000261
444	2.197844	0.000934
445	2.194355	0.000119
446	2.198580	0.002602
447	2.198388	0.000736
448	2.197935	0.004033
449	2.197713	0.000645
450	2.198222	0.000674
451	2.197467	0.000287
452	2.197974	0.000246
453	2.197908	0.000249
454	2.197264	0.000441
455	2.197880	0.000709
456	2.201247	0.000029
457	2.199297	0.003983
458	2.198381	0.001417
459	2.197935	0.002866
460	2.197804	0.001361
461	2.198219	0.000576
462	2.197663	0.000284
463	2.198016	0.000141
464	2.197954	0.000204
465	2.197715	0.000291
466	2.197973	0.000301
467	2.197569	0.000018
468	2.197641	0.000146
469	2.197426	0.000332
470	2.198410	0.000143
471	2.198322	0.000769
472	2.197974	0.000896
473	2.197533	0.000436
474	2.198259	0.000788
475	2.197375	0.000286
476	2.197941	0.000159
477	2.197914	0.000319
478	2.195862	0.000540
479	2.197843	0.002078
480	2.198920	0.000071
481	2.198430	0.003058
482	2.198208	0.000587
483	2.197798	0.000712
484	2.197142	0.000632
485	2.198006	0.001066
486	2.198467	0.000208
487	2.197253	0.001325
488	2.198513	0.000753
489	2.197967	0.000047
490	2.197976	0.000714
491	2.198372	0.000538
492	2.197945	0.000405
493	2.198303	0.000031
494	2.198232	0.000069
495	2.198192	0.000288
496	2.196572	0.000112
497	2.201341	0.001660
498	2.197808	0.003149
499	2.198035	0.001236
500	2.198245	0.003306
501	2.197864	0.000437
502	2.198344	0.000171
503	2.198070	0.000098
504	2.198113	0.000205
505	2.198796	0.000230
506	2.198220	0.000727
507	2.196819	0.000107
508	2.197580	0.001978
509	2.197844	0.000641
510	2.198190	0.001026
511	2.200521	0.000611
512	2.198025	0.002677
513	2.197674	0.000165
514	2.189786	0.002848
515	2.197745	0.008239
516	2.198163	0.000071
517	2.198211	0.008377
518	2.197951	0.000466
519	2.199153	0.000212
520	2.198139	0.000942
521	2.198549	0.000187
522	2.197393	0.000604
523	2.196604	0.000746
524	2.197996	0.001945
525	2.198132	0.000602
526	2.196527	0.001528
527	2.198130	0.001469
528	2.197724	0.000003
529	2.197719	0.001197
530	2.197916	0.000410
531	2.199212	0.000192
532	2.197358	0.001492
533	2.198393	0.000558
